λ(nm),η(A/W)
400,3.84E-02
410,5.29E-02
420,6.77E-02
430,8.23E-02
440,9.65E-02
450,1.10E-01
460,1.23E-01
470,1.36E-01
480,1.48E-01
490,1.60E-01
500,1.72E-01
510,1.83E-01
520,1.95E-01
530,2.06E-01
540,2.18E-01
550,2.29E-01
560,2.40E-01
570,2.52E-01
580,2.63E-01
590,2.70E-01
600,2.87E-01
610,3.00E-01
620,3.12E-01
630,3.24E-01
640,3.37E-01
650,3.49E-01
660,3.62E-01
670,3.75E-01
680,3.88E-01
690,4.00E-01
700,4.13E-01
710,4.26E-01
720,4.38E-01
730,4.50E-01
740,4.62E-01
750,4.74E-01
760,4.86E-01
770,4.97E-01
780,5.08E-01
790,5.18E-01
800,5.28E-01
810,5.38E-01
820,5.47E-01
830,5.55E-01
840,5.63E-01
850,5.71E-01
860,5.78E-01
870,5.84E-01
880,5.89E-01
890,5.94E-01
900,5.99E-01
910,6.03E-01
920,6.06E-01
930,6.07E-01
940,6.08E-01
950,6.08E-01
960,6.06E-01
970,6.03E-01
980,5.98E-01
990,5.91E-01
1000,5.80E-01
1010,5.64E-01
1020,5.38E-01
1030,5.01E-01
1040,4.51E-01
1050,3.88E-01
1060,3.19E-01
1070,2.60E-01
1080,2.13E-01
1090,1.74E-01
1100,1.38E-01
